web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1627547688-244","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","Wherever that may be","https://archiveofourown.org/works/22836340","Effymaybe","Teen And Up Audiences","F/F","2020-02-21","5591"
"1627545717-68","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","Прайс-лист","https://archiveofourown.org/works/15841644","li_anna","Explicit","F/F","2018-08-30","763"
"1627550140-463","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Tale of Two Halves","https://archiveofourown.org/works/28356975","ficeler37","General Audiences","F/F","2020-12-27","2496"
"1627550483-494","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","Drabbles (One Shot Collection)","https://archiveofourown.org/works/31191998","justmusings","General Audiences","F/F","2021-05-09","626"
"1627547230-203","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","More than we planned","https://archiveofourown.org/works/21526144","Whisperingsuga","Mature","F/F","2019-11-22","824"
"1627551071-546","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","Chaesoo Drabbles","https://archiveofourown.org/works/30543297","skull53","Teen And Up Audiences","F/F","2021-04-08","4453"
"1627550686-512","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","E se...?","https://archiveofourown.org/works/32123095","lailights","General Audiences","F/F","2021-06-23","62"
"1627547356-215","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=18","of rains and sunshines","https://archiveofourown.org/works/22263970","subtlesuccession","Not Rated","F/F","2020-01-15","759"
"1627549308-389","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","training wheels","https://archiveofourown.org/works/28732683","saikji (orphan_account)","Mature","F/F","2021-01-20","346"
"1627549789-432","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","A Little Bit of Everything","https://archiveofourown.org/works/30445104","TopJennieEnthusiast","Mature","F/F","2021-04-03","433"
"1627547763-251","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","I FELL IN LOVE WITH MY NEIGHBOUR","https://archiveofourown.org/works/23610388","RozettaCrowne","Explicit","F/F","2020-04-12","1112"
"1627550204-469","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Every Storm Runs Out of Rain","https://archiveofourown.org/works/30920423","poopoopops","Mature","F/F","2021-04-26","1636"
"1627551103-549","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","Be Alright","https://archiveofourown.org/works/32727601","AuthorManoban","General Audiences","F/F","2021-07-21","104"
"1627549693-423","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","cards we've been dealt","https://archiveofourown.org/works/17859437","jrjkim","Teen And Up Audiences","F/F","2019-02-20","22502"
"1627546589-146","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","Addicted | Lisa","https://archiveofourown.org/works/19273378","fiestar","Explicit","F/F","2019-06-19","3354"
"1627545612-59","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","An Eiffel Tower in Nevada","https://archiveofourown.org/works/15599328","rudesunyoung","Teen And Up Audiences","F/F","2018-08-08","4932"
"1627546803-165","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","midnight snack","https://archiveofourown.org/works/20145511","rudesunyoung","Mature","F/F","2019-08-07","3926"
"1627546889-173","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","A Love in Three Chapters","https://archiveofourown.org/works/20552816","pinkbyproxy","Mature","F/F","2019-09-07","2309"
"1627549757-429","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","【翻译】We’re the Only Spark","https://archiveofourown.org/works/30402039","jodijodijodi22","Explicit","F/F","2021-04-01","167"
"1627545749-71","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=25","i'm your home (you will come home)","https://archiveofourown.org/works/15994673","fxbricxtedrexlity","Teen And Up Audiences","F/F","2018-09-15","6674"
"1627551092-548","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","Four Girls Against the World (and some other sh*t)","https://archiveofourown.org/works/28746714","ash_er_maine","Mature","F/F","2021-01-14","4878"
"1627545324-33","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","Computer Cafe","https://archiveofourown.org/works/13735503","Shipperofeverything","Teen And Up Audiences","F/F","2018-02-19","1438"
"1627549587-414","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Hold my hand in the dark","https://archiveofourown.org/works/29802036","Galdsy","Not Rated","F/F","2021-03-02","839"
