web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1626167957-10241","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","feels like a dream","https://archiveofourown.org/works/27416131","lovebot05","Mature","F/F","2020-11-06","1096"
"1626164563-9939","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","In Medias Res","https://archiveofourown.org/works/14065665","chaengramji","Teen And Up Audiences","F/F","2018-03-23","3092"
"1626164607-9943","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","Hobby","https://archiveofourown.org/works/14200296","sseokjins","Teen And Up Audiences","F/F","2018-04-03","802"
"1626164617-9944","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","i look at you now ( and want this forever )","https://archiveofourown.org/works/14247102","dormant_bender","Mature","M/M","2018-04-09","4908"
"1626164703-9952","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","Playing with dildo","https://archiveofourown.org/works/14744867","li_anna","General Audiences","F/F","2018-05-24","428"
"1626165003-9978","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","This Is How You Lose Me","https://archiveofourown.org/works/16112540","kapsyon","Mature","F/F","2018-09-27","1142"
"1626167775-10225","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","I Change You","https://archiveofourown.org/works/26932792","1Dreamer","General Audiences","F/F","2020-10-10","639"
"1626165164-9993","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","At the End of a Tiring Day","https://archiveofourown.org/works/17002764","jenlisa-is-the-revolution (swiftandkloss)","Explicit","F/F","2018-12-15","9472"
"1626166001-10067","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","midnight snack","https://archiveofourown.org/works/20145511","rudesunyoung","Mature","F/F","2019-08-07","3845"
"1626164436-9928","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","syncopate","https://archiveofourown.org/works/12878889","sohmins","Not Rated","F/F","2017-12-01","2917"
"1626164265-9913","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Insta-fame, Insta-love","https://archiveofourown.org/works/11101485","DestinedForTheBurger","Teen And Up Audiences","F/F","2017-06-05","631"
"1626169837-10405","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Really","https://archiveofourown.org/works/31865797","adoringjenchulichaeng","General Audiences","F/F","2021-06-10","748"
"1626169665-10393","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","The lesson is over","https://archiveofourown.org/works/31185011","libra95","Mature","F/F","2021-05-09","1087"
"1626167615-10211","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","Million Reasons","https://archiveofourown.org/works/26506633","rafolshoe","Not Rated","F/F","2020-09-17","721"
"1626167016-10157","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Russian Roulette","https://archiveofourown.org/works/23697826","ohjenniekim","General Audiences","F/F","2020-04-17","1451"
"1626167541-10204","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","The loneliness still feels the same","https://archiveofourown.org/works/26211814","rudesunyoung","Mature","F/F","2020-09-05","1026"
"1626167370-10189","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","it's me that changed","https://archiveofourown.org/works/25414225","fated_addiction","General Audiences","F/F","2020-07-21","1336"
"1626166898-10147","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","Wherever that may be","https://archiveofourown.org/works/22836340","Effymaybe","Teen And Up Audiences","F/F","2020-02-21","5521"
"1626164328-9918","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","baby, don't go.","https://archiveofourown.org/works/11742417","hopclair","Teen And Up Audiences","F/F","2017-08-08","2214"
"1626166812-10139","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","+63","https://archiveofourown.org/works/23197504","dahyunverse","Not Rated","F/F","2020-03-18","704"
"1626167178-10172","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","your not-so-secret admirer","https://archiveofourown.org/works/24445828","bl8pink","Mature","F/F","2020-05-29","675"
"1626167242-10177","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","Lost In Your Light","https://archiveofourown.org/works/24939520","everythingisgay","Mature","F/F","2020-06-27","1114"
"1626166279-10092","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","That Night","https://archiveofourown.org/works/21023423","thekathlife","Mature","F/F","2019-10-13","2526"
"1626169471-10375","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","Hope Not","https://archiveofourown.org/works/31192496","justmusings","General Audiences","F/F","2021-05-09","340"
"1626169815-10403","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Drabbles (One Shot Collection)","https://archiveofourown.org/works/31191998","justmusings","General Audiences","F/F","2021-05-09","607"
"1626168000-10245","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","I'll Be Your Bonnie and You Be My Clyde","https://archiveofourown.org/works/27665387","MinsungSKZaddict","Mature","M/M","2020-11-22","223"
"1626164574-9940","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","subscribed","https://archiveofourown.org/works/14083104","jendeukie","General Audiences","F/F","2018-03-24","2297"
"1626164350-9920","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","Gravity","https://archiveofourown.org/works/11909994","SunSkip","Teen And Up Audiences","F/F","2017-08-26","6853"
"1626169579-10385","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","rivers & songs","https://archiveofourown.org/works/16112588","kapsyon","Mature","F/F","2018-09-27","2006"
"1626164468-9931","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","Peccadillo","https://archiveofourown.org/works/12305931","LilyLisa","Teen And Up Audiences","F/F","2017-10-08","1134"
"1626168203-10263","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Bad boy and angel","https://archiveofourown.org/works/28176708","Rndom_Kpop_lover101","Not Rated","F/F","2020-12-19","68"
"1626168954-10330","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Losing You Only To Find You","https://archiveofourown.org/works/30258777","ash_er_maine","Teen And Up Audiences","F/F","2021-03-25","347"
"1626170105-10429","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","of love (there's enough to go around)","https://archiveofourown.org/works/30627497","that_one_scared_gay","Teen And Up Audiences","F/F","2021-04-12","3448"
"1626165227-9998","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","when it's half past five","https://archiveofourown.org/works/17240522","subtlesuccession","Not Rated","F/F","2018-12-31","2553"
